ts_utc,ticker,side,price,edge_cents,spread_cents,score,reason,status,status_reason
2026-04-11T01:34:57.972970+00:00,KXBTC15M-26APR102145-45,no,85,35,93,25.55,"asset=KXBTC15M, spot_now=72943.5150, spot_5m=72819.7000, secs_left=1327609, sigma=0.55, fair=50.1, market=85.0, conf=1.00",cooldown,cooldown_active_11s
2026-04-11T01:34:57.973235+00:00,KXETH15M-26APR102145-45,no,77,27,46,22.26,"asset=KXETH15M, spot_now=2243.9450, spot_5m=2239.1400, secs_left=1327608, sigma=0.76, fair=50.1, market=77.0, conf=1.00",cooldown,cooldown_active_25s
2026-04-11T01:35:01.741865+00:00,KXBTC15M-26APR102145-45,no,91,41,8,40.05,"asset=KXBTC15M, spot_now=72941.5950, spot_5m=72819.7000, secs_left=1327605, sigma=0.54, fair=50.1, market=91.0, conf=1.00",cooldown,cooldown_active_7s
2026-04-11T01:35:01.742337+00:00,KXSOL15M-26APR102145-45,no,86,36,27,33.68,"asset=KXSOL15M, spot_now=84.6550, spot_5m=84.5700, secs_left=1327603, sigma=0.39, fair=50.1, market=86.5, conf=1.00",cooldown,cooldown_active_33s
2026-04-11T01:35:01.742613+00:00,KXETH15M-26APR102145-45,no,77,27,46,22.26,"asset=KXETH15M, spot_now=2243.9450, spot_5m=2239.1400, secs_left=1327604, sigma=0.76, fair=50.1, market=77.0, conf=1.00",cooldown,cooldown_active_22s
2026-04-11T01:35:05.570605+00:00,KXBTC15M-26APR102145-45,no,91,41,8,40.05,"asset=KXBTC15M, spot_now=72941.5950, spot_5m=72872.2900, secs_left=1327601, sigma=0.31, fair=50.1, market=91.0, conf=1.00",cooldown,cooldown_active_3s
2026-04-11T01:35:05.571032+00:00,KXSOL15M-26APR102145-45,no,86,36,27,33.68,"asset=KXSOL15M, spot_now=84.6550, spot_5m=84.5700, secs_left=1327600, sigma=0.39, fair=50.1, market=86.5, conf=1.00",cooldown,cooldown_active_30s
2026-04-11T01:35:05.571313+00:00,KXETH15M-26APR102145-45,no,77,27,46,22.26,"asset=KXETH15M, spot_now=2243.9450, spot_5m=2240.1100, secs_left=1327601, sigma=0.61, fair=50.1, market=77.0, conf=1.00",cooldown,cooldown_active_18s
2026-04-11T01:35:08.923828+00:00,KXBTC15M-26APR102145-45,no,96,45,9,44.45,"asset=KXBTC15M, spot_now=72934.6850, spot_5m=72872.2900, secs_left=1327597, sigma=0.28, fair=50.1, market=95.5, conf=1.00",cooldown,cooldown_active_0s
2026-04-11T01:35:08.924453+00:00,KXSOL15M-26APR102145-45,no,86,36,27,33.68,"asset=KXSOL15M, spot_now=84.6550, spot_5m=84.5700, secs_left=1327596, sigma=0.39, fair=50.1, market=86.5, conf=1.00",cooldown,cooldown_active_26s
2026-04-11T01:35:08.924803+00:00,KXETH15M-26APR102145-45,no,77,27,46,22.26,"asset=KXETH15M, spot_now=2243.9050, spot_5m=2240.1100, secs_left=1327597, sigma=0.60, fair=50.1, market=77.0, conf=1.00",cooldown,cooldown_active_15s
2026-04-11T01:35:12.820264+00:00,KXBTC15M-26APR102145-45,no,96,45,9,44.45,"asset=KXBTC15M, spot_now=72934.7500, spot_5m=72872.2900, secs_left=1327593, sigma=0.28, fair=50.1, market=95.5, conf=1.00",dry_run,
2026-04-11T01:35:12.820746+00:00,KXSOL15M-26APR102145-45,no,86,36,27,33.68,"asset=KXSOL15M, spot_now=84.6550, spot_5m=84.5700, secs_left=1327593, sigma=0.39, fair=50.1, market=86.5, conf=1.00",cooldown,cooldown_active_22s
2026-04-11T01:35:12.820979+00:00,KXETH15M-26APR102145-45,no,77,27,46,22.26,"asset=KXETH15M, spot_now=2243.9950, spot_5m=2240.1100, secs_left=1327593, sigma=0.62, fair=50.1, market=77.0, conf=1.00",cooldown,cooldown_active_11s
2026-04-11T01:35:16.200749+00:00,KXBTC15M-26APR102145-45,no,96,45,9,44.45,"asset=KXBTC15M, spot_now=72934.7500, spot_5m=72872.2900, secs_left=1327590, sigma=0.28, fair=50.1, market=95.5, conf=1.00",cooldown,cooldown_active_56s
2026-04-11T01:35:16.201154+00:00,KXSOL15M-26APR102145-45,no,86,36,27,33.68,"asset=KXSOL15M, spot_now=84.6550, spot_5m=84.5700, secs_left=1327589, sigma=0.39, fair=50.1, market=86.5, conf=1.00",cooldown,cooldown_active_19s
2026-04-11T01:35:16.201433+00:00,KXETH15M-26APR102145-45,no,77,27,46,22.26,"asset=KXETH15M, spot_now=2243.7750, spot_5m=2240.1100, secs_left=1327589, sigma=0.58, fair=50.1, market=77.0, conf=1.00",cooldown,cooldown_active_7s
2026-04-11T01:35:20.041567+00:00,KXBTC15M-26APR102145-45,no,96,45,9,44.45,"asset=KXBTC15M, spot_now=72934.0350, spot_5m=72872.2900, secs_left=1327586, sigma=0.27, fair=50.1, market=95.5, conf=1.00",cooldown,cooldown_active_52s
2026-04-11T01:35:20.042023+00:00,KXSOL15M-26APR102145-45,no,86,36,27,33.68,"asset=KXSOL15M, spot_now=84.6550, spot_5m=84.5700, secs_left=1327585, sigma=0.39, fair=50.1, market=86.5, conf=1.00",cooldown,cooldown_active_15s
2026-04-11T01:35:20.042269+00:00,KXETH15M-26APR102145-45,no,77,27,46,22.26,"asset=KXETH15M, spot_now=2243.6850, spot_5m=2240.1100, secs_left=1327586, sigma=0.57, fair=50.1, market=77.0, conf=1.00",cooldown,cooldown_active_3s
2026-04-11T01:35:23.378732+00:00,KXBTC15M-26APR102145-45,no,96,45,9,44.45,"asset=KXBTC15M, spot_now=72934.0350, spot_5m=72872.2900, secs_left=1327583, sigma=0.27, fair=50.1, market=95.5, conf=1.00",cooldown,cooldown_active_49s
2026-04-11T01:35:23.379950+00:00,KXSOL15M-26APR102145-45,no,86,36,27,33.68,"asset=KXSOL15M, spot_now=84.6550, spot_5m=84.5700, secs_left=1327582, sigma=0.39, fair=50.1, market=86.5, conf=1.00",cooldown,cooldown_active_12s
2026-04-11T01:35:23.380132+00:00,KXETH15M-26APR102145-45,no,77,27,46,22.26,"asset=KXETH15M, spot_now=2243.5050, spot_5m=2240.1100, secs_left=1327582, sigma=0.54, fair=50.1, market=77.0, conf=1.00",cooldown,cooldown_active_0s
2026-04-11T01:35:26.880247+00:00,KXBTC15M-26APR102145-45,no,96,45,9,44.45,"asset=KXBTC15M, spot_now=72934.0350, spot_5m=72872.2900, secs_left=1327579, sigma=0.27, fair=50.1, market=95.5, conf=1.00",cooldown,cooldown_active_45s
2026-04-11T01:35:26.880767+00:00,KXSOL15M-26APR102145-45,no,86,36,27,33.68,"asset=KXSOL15M, spot_now=84.6350, spot_5m=84.5700, secs_left=1327578, sigma=0.30, fair=50.1, market=86.5, conf=1.00",cooldown,cooldown_active_8s
2026-04-11T01:35:26.881098+00:00,KXETH15M-26APR102145-45,no,77,27,46,22.26,"asset=KXETH15M, spot_now=2243.2450, spot_5m=2240.1100, secs_left=1327579, sigma=0.50, fair=50.1, market=77.0, conf=1.00",dry_run,
2026-04-11T01:35:29.794379+00:00,KXBTC15M-26APR102145-45,no,96,45,9,44.45,"asset=KXBTC15M, spot_now=72924.7250, spot_5m=72872.2900, secs_left=1327576, sigma=0.23, fair=50.1, market=95.5, conf=1.00",cooldown,cooldown_active_43s
