ticker,expiry_time,status,side,price,score,won,pnl_cents,product
KXBTC15M-26MAR310045-00,2026-03-31T00:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR310045-00,2026-03-31T00:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310100-00,2026-03-31T01:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR310100-00,2026-03-31T01:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310115-00,2026-03-31T01:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR310115-00,2026-03-31T01:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310130-00,2026-03-31T01:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR310130-00,2026-03-31T01:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310145-00,2026-03-31T01:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR310145-00,2026-03-31T01:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310200-00,2026-03-31T02:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR310200-00,2026-03-31T02:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310215-00,2026-03-31T02:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR310215-00,2026-03-31T02:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310230-00,2026-03-31T02:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR310230-00,2026-03-31T02:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310245-00,2026-03-31T02:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR310245-00,2026-03-31T02:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310300-00,2026-03-31T03:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR310300-00,2026-03-31T03:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310315-00,2026-03-31T03:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR310315-00,2026-03-31T03:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310330-00,2026-03-31T03:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR310330-00,2026-03-31T03:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310345-00,2026-03-31T03:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR310345-00,2026-03-31T03:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310400-00,2026-03-31T04:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR310400-00,2026-03-31T04:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310415-00,2026-03-31T04:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR310415-00,2026-03-31T04:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310430-00,2026-03-31T04:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR310430-00,2026-03-31T04:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310445-00,2026-03-31T04:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR310445-00,2026-03-31T04:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310500-00,2026-03-31T05:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR310500-00,2026-03-31T05:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310515-00,2026-03-31T05:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR310515-00,2026-03-31T05:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310530-00,2026-03-31T05:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR310530-00,2026-03-31T05:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310545-00,2026-03-31T05:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR310545-00,2026-03-31T05:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310600-00,2026-03-31T06:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR310600-00,2026-03-31T06:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310615-00,2026-03-31T06:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR310615-00,2026-03-31T06:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310630-00,2026-03-31T06:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR310630-00,2026-03-31T06:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310645-00,2026-03-31T06:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR310645-00,2026-03-31T06:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310700-00,2026-03-31T07:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR310700-00,2026-03-31T07:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310715-00,2026-03-31T07:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR310715-00,2026-03-31T07:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310730-00,2026-03-31T07:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR310730-00,2026-03-31T07:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310745-00,2026-03-31T07:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR310745-00,2026-03-31T07:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310800-00,2026-03-31T08:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR310800-00,2026-03-31T08:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310815-00,2026-03-31T08:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR310815-00,2026-03-31T08:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310830-00,2026-03-31T08:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR310830-00,2026-03-31T08:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310845-00,2026-03-31T08:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR310845-00,2026-03-31T08:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310900-00,2026-03-31T09:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR310900-00,2026-03-31T09:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310915-00,2026-03-31T09:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR310915-00,2026-03-31T09:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310930-00,2026-03-31T09:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR310930-00,2026-03-31T09:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310945-00,2026-03-31T09:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR310945-00,2026-03-31T09:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311000-00,2026-03-31T10:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR311000-00,2026-03-31T10:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311015-00,2026-03-31T10:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR311015-00,2026-03-31T10:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311030-00,2026-03-31T10:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR311030-00,2026-03-31T10:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311045-00,2026-03-31T10:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR311045-00,2026-03-31T10:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311100-00,2026-03-31T11:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR311100-00,2026-03-31T11:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311115-00,2026-03-31T11:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR311115-00,2026-03-31T11:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311130-00,2026-03-31T11:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR311130-00,2026-03-31T11:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311145-00,2026-03-31T11:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR311145-00,2026-03-31T11:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311200-00,2026-03-31T12:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR311200-00,2026-03-31T12:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311215-00,2026-03-31T12:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR311215-00,2026-03-31T12:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311230-00,2026-03-31T12:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR311230-00,2026-03-31T12:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311245-00,2026-03-31T12:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR311245-00,2026-03-31T12:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311300-00,2026-03-31T13:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR311300-00,2026-03-31T13:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311315-00,2026-03-31T13:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR311315-00,2026-03-31T13:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311330-00,2026-03-31T13:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR311330-00,2026-03-31T13:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311345-00,2026-03-31T13:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR311345-00,2026-03-31T13:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311400-00,2026-03-31T14:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR311400-00,2026-03-31T14:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311415-00,2026-03-31T14:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR311415-00,2026-03-31T14:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR311430-00,2026-03-31T14:30:00+00:00,rejected,,,,,,
